Input,Output_Baseline,ECR_Baseline,Output_CFMoE,ECR_CFMoE
Olmec colossal heads,"The Olmec colossal heads are a series of colossal heads carved from volcanic stone that were discovered in the Olmec heartland of the Gulf Coast of Mexico. The heads are the largest known Olmec sculptures, and are between 1.5 and 2.5 meters (4.9 and 8.2 ft) high. They were carved from volcanic stone, and are believed to have been created between 1400 and 1000 BC. The heads are considered to be among the most important works of ancient art in the Americas. The colossal heads are thought to have been created for religious or ceremonial purposes, and were probably placed in a temple. The heads are believed to represent the gods of the Olmecs, and were probably carved to commemorate the death of a ruler. The heads are considered to be among the most important works of ancient art in the Americas.  == Description ==  The colossal heads are between 1.5 and 2.5 meters (4.9 and 8.2 ft) high. They are carved from volcanic stone, and are believed to have been created between 1400 and 1000 BC.""",0.3641774891774892,"Olmec colossal heads are colossal heads carved from basalt, and other stones, by the Olmec civilization, which flourished in Mexico's Gulf Coast region from about 1500 BC to 400 BC. The heads are among the earliest monumental sculpture in the Americas, and the largest and most impressive Olmec sculptures. The heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown. The heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown. The heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown. The heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown. The heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown.  == Description ==  The colossal heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown. The heads are generally believed to represent Olmec rulers, but their purpose and meaning are unknown. The heads are generally believed to represent Olmec rulers, but their purpose and meaning is unknown. The heads are generally""",0.4631433381433381
"Temple Beth Israel (Eugene, Oregon)","Temple Beth Israel (Hebrew: בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכללי בית כהכ""",0.2935305435305436,"Temple Beth Israel (Hebrew: בית ישראל, Beth Yisra 'el, ""House of Israel"") is a Reform Jewish congregation in Eugene, Oregon, United States. Founded in 1912, it is the oldest Jewish congregation in Lane County. The congregation built its first synagogue in 1914, and its second in 1941. The congregation's third building was constructed in 1962. The congregation's fourth building was constructed in 1990. The congregation has been led by Rabbi Michael Lerner since 1988. The congregation is affiliated with the Union for Reform Judaism.  == History ==  The congregation was founded in 1912. The first services were held in a rented hall. The congregation's first synagogue was built in 1914. The congregation's second synagogue was built in 1941. The congregation's third building was constructed in 1962. The congregation's fourth building was constructed in 1990. The congregation's first rabbi was Rabbi Samuel M.""",0.4547859547859548
Come What (ever) May,"""Come What (ever) May"" is a song by American singer Christina Aguilera, released as the second single from her fifth studio album, Bionic (2010). The song was written by Aguilera, Traci Hale, and producer Traci Hale, and was produced by Traci Hale and Traci Hale. The song is a midtempo R & B song with influences of dance-pop and electropop. It is built around a simple drum machine beat, with a ""repetitive"" bassline and ""minimalist"" instrumentation. The song's lyrics are about Aguilera's relationship with her boyfriend, Matt Rutler. ""Come What (ever) May"" received mixed reviews from music critics, who praised the song's production, but criticized its lyrics. The song was a moderate success, peaking at number 33 on the US Billboard Hot 100 and number 10 on the US Billboard Hot Dance Club Songs. The song was nominated for Best Dance Recording at the 53rd Grammy Awards.  == Background and composition ==  ""Come What (ever) May"" was written by Christina Aguilera, Tr""",0.3208473625140292,"""Come What ever May"" is a song by the English rock band Queen. It was written by Freddie Mercury and Brian May, and was released as the lead single from the band's 1974 album Sheer Heart Attack. The song was the first single to be released by Queen, and was the band's first single to enter the UK Singles Chart. The song was written by May and Mercury during the band's first recording sessions for Sheer Heart Attack, and was recorded in 1973. The song was released as a single in 1974, and was a top ten hit in the UK, reaching number seven. The song was also a top twenty hit in the US, reaching number 18.  == Background ==  ""Come What ever May"" was written by Queen members Freddie Mercury and Brian May, and was recorded in 1973. The song was the first single to be released by Queen, and was the band's first single to enter the UK Singles Chart. The song was released as a single in 1974, and was a top ten hit in the UK, reaching number seven. The song""",0.4461479878146545
Operation USA,"Operation USA is a non-profit organization in the United States that provides humanitarian aid to people in need. The organization was founded in 1981 by Ken Feinberg, a lawyer and businessman, and was incorporated in 1982. The organization is headquartered in Los Angeles, California, and has regional offices in New York City, New York and Washington, D.C. Feinberg, who was a lawyer for the United States government in the Vietnam War, was inspired to create Operation USA after reading a story in the Los Angeles Times about a family of Vietnamese refugees who were living in a tent in Los Angeles. The organization has since provided humanitarian aid to people in need in 130 countries.  == History ==   === Founding ===  Ken Feinberg, a lawyer and businessman, founded Operation USA in 1981. Feinberg was inspired to create the organization after reading a story in the Los Angeles Times about a family of Vietnamese refugees who were living in a tent in Los Angeles. Feinberg, who was a lawyer for the United States government in the Vietnam War, was inspired to create Operation USA after reading the story. Feinberg was also inspired to create the organization after""",0.2979998396665063,"Operation USA was a military operation conducted by the United States military during the 1991 Gulf War. The operation was designed to provide humanitarian relief to the civilian population of Iraq, which was suffering from the effects of the Persian Gulf War. The operation was conducted by the United States Army's 1st Cavalry Division, and was the first time in the history of the United States military that a humanitarian operation was conducted in a war zone. The operation was conducted in the aftermath of Operation Desert Storm, which had ended in early January 1991. The operation was conducted in the southern part of Iraq, in the area around Basra, and was intended to provide food, medicine, and other supplies to the civilian population. The operation was conducted by the 1st Cavalry Division, and was the first time in the history of the United States military that a humanitarian operation was conducted in a war zone. The operation was conducted from 12 to 14 March 1991, and was a success. The operation was the first time in the history of the United States military that a humanitarian operation was conducted in a war zone. The operation was also the first time that a humanitarian operation was conducted in""",0.4425404842071508
Free Derry,"Free Derry (Irish: D�n Lethglas) is a term used to describe the area of the city of Derry in Northern Ireland. The term is used by the city's unionist residents to refer to the area of the city centre, which is predominantly unionist. The term is also used by the city's nationalist residents to refer to the area of the city centre, which is predominantly nationalist. The term is also used by the city's republicans to refer to the area of the city centre, which is predominantly republican. The term is used to describe the city centre, which is predominantly unionist. The term is also used to describe the city centre, which is predominantly nationalist. The term is also used to describe the city centre, which is predominantly republican.  == History ==  The term Free Derry was first used in the 1960s by the unionist residents of the city centre to refer to the area of the city centre, which is predominantly unionist. The term is also used by the city's nationalist residents to refer to the area of the city centre, which is predominantly nationalist. The term is also used by the city""",0.3163981080647748,"Free Derry (Irish: D�n Lethglas) is a term used to describe the Bogside area of Derry, Northern Ireland, during the Troubles. The term was coined by the Bogside residents in 1969, when the British Army was deployed to the city to prevent rioting. It was used to describe the area as a whole, and was not confined to the Bogside. The term Free Derry was used to describe the Bogside area of Derry during the Troubles. The term was coined by the Bogside residents in 1969, when the British Army was deployed to the city to prevent rioting. The term was also used to describe the area as a whole, and was not confined to the Bogside.  == Background ==  The Bogside area of Derry had a history of sectarian conflict. In 1968, the Northern Ireland Civil Rights Association (NICRA) organised a march from Derry to Belfast to protest against internment without trial. The march was attacked by the Ulster Volunteer Force (UVF) and Ulster Defence Association (UDA) on its return to Derry. The march was attacked by the UV""",0.3965648548981882
Oxaziridine,"Oxaziridine is an organic compound with the chemical formula C3H6N2. It is a derivative of the amino acid tryptophan. It is a white solid that is soluble in water and alcohol. It is a precursor to oxazolidinone antibiotics, such as rifampicin and isoniazid.  == Synthesis ==  Oxaziridine is synthesized by the reaction of an amine with a nitrile. The amine is usually an amino acid, such as tryptophan, and the nitrile is a nitrile oxide. The reaction is carried out in aqueous solution, and the reaction is acid catalyzed. The reaction is carried out at 100°C for 1 hour. The reaction is carried out in the presence of a base, such as sodium hydroxide, to neutralize the acid. The reaction is carried out in the presence of a base, such as sodium hydroxide, to neutralize the acid. The reaction is carried out in the presence of a base, such as sodium hydroxide, to neutralize the acid. The reaction is carried out in the presence of a base, such as sodium hydroxide""",0.3153358986692322,"Oxaziridine is a heterocyclic organic compound with the formula C3H4N2. It is a derivative of aziridine, and is related to the imidazole ring system. It is a colorless solid that is soluble in water and organic solvents. It is used as a reagent in organic synthesis, and as a precursor to other compounds.  == Structure and nomenclature ==  The compound is a derivative of aziridine, and is related to the imidazole ring system. It is a colorless solid that is soluble in water and organic solvents. The IUPAC name for the compound is oxaziridine. The systematic name is 1H-imidazol-3-amine.  == Synthesis ==  Oxaziridine can be prepared by the reaction of an amine with a nitrile. For example, the reaction of 1,3-butadiene with trimethylamine gives 1,3-butadieneimidazole: C3H6 + (CH3) 3N → C3H4N2 + 3 CH3  == Properties ==  The""",0.4164662497995832
Josepha Petrick Kemarre,"Josepha Petrick Kemarre (c. 1920 – 1992) was an Aboriginal Australian artist from the Utopia River region of the Northern Territory. She was a member of the Utopia River community and was known for her paintings of the Dreamtime, which were created in the style of the Utopia River people. Her work was exhibited in Australia and internationally, and she was a recipient of the 1988 National Aboriginal and Torres Strait Islander Art Award.  == Early life ==  Josepha Petrick Kemarre was born in 1920 in the Utopia River region of the Northern Territory. Her mother was a member of the Utopia River people and her father was a man from the nearby community of Papunya. She was the sister of artist Emily Kame Kngwarreye, who was also a member of the Utopia River community.  == Art ==  Josepha Petrick Kemarre was a member of the Utopia River community and was known for her paintings of the Dreamtime, which were created in the style of the Utopia River people. Her work was exhibited""",0.3394660894660895,"Josepha Petrick Kemarre (c. 1880 – 1940) was an Aboriginal Australian artist from the Hermannsburg Mission in Central Australia. She was born in the Hermannsburg Mission, and was the daughter of Petrick Kemarre, a senior artist at the mission. She was taught to paint by her father and her uncle, and began painting in 1916. She was one of the first Aboriginal artists to have her work exhibited in Europe, and was the first Aboriginal artist to be represented by an Australian art gallery. Kemarre's paintings are characterised by their use of bright colours, and depict scenes from her life at the mission, including the daily activities of the mission's Aboriginal residents. Her work was exhibited in Australia and Europe, and was included in the 1938 exhibition of Aboriginal art at the National Gallery of Victoria. She was married to the artist and teacher Thomas Tjapaltjarri, and had three children. She died in 1940.  == Life ==  Kemarre was born in 1880 at the Hermannsburg Mission in Central Australia. She was the daughter of Petrick""",0.4212361712361713
Kirby's Block Ball,"Kirby's Block Ball is a puzzle video game developed by HAL Laboratory and published by Nintendo for the Game Boy. The game was released in Japan on April 27, 1995, and in North America on September 29, 1995. It was later ported to the Game Boy Color in 1997. The game is the first in the series to feature the character Kirby, and is the first game in the series to feature a multiplayer mode. The game is set in the fictional world of Dream Land, where King Dedede has stolen the Star Rod and is using it to turn the inhabitants of Dream Land into blocks. Kirby must collect the Star Rod and defeat King Dedede. The game is played from a third-person perspective, and the player controls Kirby as he moves around the world, collecting blocks and defeating enemies. The game features 100 levels, and the player can choose to play through the game in any order. Kirby's Block Ball was met with generally positive reviews, with critics praising the game's graphics, sound, and gameplay. The game was a commercial success, and has sold over 1.5 million""",0.3031705948372615,"Kirby's Block Ball, known in Japan as Kirby's Avalanche (カービィのアヴァランサ, Kābī no Avaransā), is a puzzle video game developed by HAL Laboratory and published by Nintendo for the Game Boy. It was released in Japan on January 14, 1995, in North America on March 21, 1995, and in Europe on April 28, 1995. The game is the third installment in the Kirby series, and the first to be released on a handheld system. Kirby's Block Ball is a puzzle game in which the player controls Kirby as he rolls a ball of yarn around a maze-like level, collecting stars and defeating enemies. The game was directed by Masahiro Sakurai, who would later direct the Kirby series'main installments. The game was originally intended to be a platform game, but was changed to a puzzle game after the staff felt that Kirby's platforming abilities were not strong enough. The game was well received by critics, who praised the game's graphics and sound, but criticized the game'""",0.411576078242745
Typhoon Krosa (2013),"Typhoon Krosa, known in the Philippines as Typhoon Glenda, was the second tropical cyclone to make landfall in the Philippines during the 2013 Pacific typhoon season. The 11th tropical cyclone, 10th named storm, and 7th typhoon of the season, Krosa developed on July 15 from a tropical wave in the western Pacific Ocean. It quickly intensified to typhoon status, and made landfall in the Philippines on July 17. It quickly weakened to tropical storm status, and dissipated on July 20. The storm caused heavy rainfall across the Philippines, which resulted in flooding and landslides. At least 20 people were killed, and 100 were injured. The storm also caused damage to crops and infrastructure. Overall, the storm caused $ 100 million (2013 USD) in damage.  == Meteorological history ==  On July 15, a tropical wave emerged from the monsoon trough. The wave moved westward, and the next day, a low-level circulation developed. The wave continued to move westward, and on July""",0.3279621612954947,"Typhoon Krosa, known in the Philippines as Typhoon Glenda, was a powerful typhoon that affected the Philippines and Vietnam in July 2013. The 14th named storm and 7th typhoon of the annual typhoon season, Krosa developed from a tropical disturbance on July 14, 2013, to the east of the Philippines. It moved northwestward, and after turning to the west, it intensified into a tropical storm on July 16. The storm continued to intensify, and on July 18, Krosa attained typhoon status. The typhoon reached its peak intensity on July 20, with winds of 175 km / h (110 mph 10-minute winds) and a minimum barometric pressure of 935 mbar (hPa; 27.61 inHg). After turning to the west-northwestward, Krosa began to weaken, and on July 24, it weakened to a tropical storm. The storm continued to weaken, and on July 26, it transitioned into an extratropical cyclone""",0.4528018278018278
Battle of Dürenstein,"The Battle of D�renstein was fought on 24 May 1248 between the Austrian and Bavarian forces of King Ottokar II of Bohemia and the forces of the Holy Roman Emperor Frederick II. The battle was fought in the area of the D�renstein Pass in the Wienerwald, a forest in the Austrian Alps. The battle resulted in a decisive victory for Frederick II, who had been fighting the Bohemian king for several years. The battle was the climax of a long-running conflict between Ottokar II and Frederick II, who had been fighting for the throne of Bohemia since 1246. Frederick II had been successful in his campaigns against Ottokar II, and in 1248 he was able to defeat Ottokar II in a battle at M�hldorf. After the battle, Frederick II advanced into Austria and defeated Ottokar II's forces at D�renstein. The battle was a turning point in the conflict between the two kings. Frederick II was able to gain control of the Austrian territories, and Ottokar II was forced to retreat to Bohemia. The battle also marked the beginning of the end of the power""",0.3173200256533591,"The Battle of D�renstein was fought on 24 – 25 June 1809 between the French Army of the Danube and the Austrian Army of the Danube under Archduke Charles. The battle took place in the vicinity of D�renstein, a village in Lower Austria. The French army, under the command of Jean-Baptiste Jourdan, was advancing towards Vienna, the capital of the Austrian Empire. The Austrians, under the command of Archduke Charles, were in the process of retreating from the French army. Charles had been ordered by his brother, Emperor Francis II, to delay the French advance towards Vienna, and to buy time for the Austrian army to retreat to the safety of the Danube. The French army, which had been advancing since 18 May, had reached the outskirts of Vienna by 22 June. The French army was composed of 100,000 men, while the Austrian army was only 60,000 strong. The Austrian army was commanded by Archduke Charles, while the French army was commanded by Jourdan. The battle was fought in a hilly area, with the French army advancing up the hills. The""",0.4314774731441398
